domain_name,is_suspicious,threatType,platformType
jabbfoundation.nl,False,,
*.493fc9d84dda157f7db4c88e.keenetic.io,False,,
autodiscover.ravimalik.com,False,,
autodiscover.vvp68.biz,False,,
staging.dev.eth-send.com,False,,
shop.developer.ozlonaffiliates.com,False,,
git.dopetik.com,False,,
isabellabretz.com,False,,
api.truluup.me,False,,
www.nikitasampath.com,False,,
91wheels.com,False,,
touchton-interiors.de,False,,
*.house-of-tulips.com,False,,
demo.kandaradigital.com,False,,
thecardboardcrowns.com,False,,
test.dev.etylogeris.space,False,,
autodiscover.ideasec.ae,False,,
tallcase.com,False,,
mediathequedompierre-sur-besbre.fr,False,,
touchton-interiors.de,False,,
autodiscover.ideasec.ae,False,,
instaladoresdegaselalamo.com.es,False,,
www.homesandestatesinct.com,False,,
thecardboardcrowns.com,False,,
tallcase.com,False,,
ceketch.com,False,,
www.wildsneakers4you.com,False,,
staging.secure.fh-portalen.dk,False,,
*.rustemakdag.org,False,,
mail.mmkcomunicacion.com,False,,
mediathequedompierre-sur-besbre.fr,False,,
instaladoresdegaselalamo.com.es,False,,
www.homesandestatesinct.com,False,,
autodiscover.eskisehirnakliyat.com,False,,
ceketch.com,False,,
www.wildsneakers4you.com,False,,
staging.secure.fh-portalen.dk,False,,
mail.mmkcomunicacion.com,False,,
manager.habiba.cyou,False,,
*.rustemakdag.org,False,,
autodiscover.eskisehirnakliyat.com,False,,
ecommerce.globizsapp.com,False,,
demo.kandaradigital.com,False,,
*.d35dd6db32965d4c98a9b3f6.keenetic.io,False,,
manager.habiba.cyou,False,,
knowhow.stekgreif.com,False,,
app.portalredes.com.mx,False,,
crm.incitta.co.uk,False,,
ecommerce.globizsapp.com,False,,
*.d35dd6db32965d4c98a9b3f6.keenetic.io,False,,
autodiscover.bocastaging.net,False,,
sxmforever.com,False,,
8wdee.com,False,,
autodiscover.mitchscottart.com,False,,
aipdcw.fhlogmcustomer.com,True,SOCIAL_ENGINEERING,ANY_PLATFORM
knowhow.stekgreif.com,False,,
app.portalredes.com.mx,False,,
template04.oafiliadomestre.com.br,False,,
autodiscover.bocastaging.net,False,,
zoopetservice.ru,False,,
sxmforever.com,False,,
store.comune.mysterium.cz,False,,
*.mnrik.com,False,,
autodiscover.mitchscottart.com,False,,
8wdee.com,False,,
aipdcw.fhlogmcustomer.com,True,SOCIAL_ENGINEERING,ANY_PLATFORM
template04.oafiliadomestre.com.br,False,,
lichwiarze.pl,False,,
store.ifqunmkvlffq.marauderwines.com,False,,
xn--cckyezb0b3009au5f7j1d.com,False,,
www.nikos-onlineshop.de,False,,
6gradost.com,False,,
prometheus.k8s.staging.aws.tomorrow.one,False,,
lichwiarze.pl,False,,
*.mnrik.com,False,,
zoopetservice.ru,False,,
prometheus.k8s.staging.aws.tomorrow.one,False,,
store.comune.mysterium.cz,False,,
6gradost.com,False,,
xn--cckyezb0b3009au5f7j1d.com,False,,
store.ifqunmkvlffq.marauderwines.com,False,,
www.nikos-onlineshop.de,False,,
polomotor.crea.space,False,,
besttrainers.co.uk,False,,
autodiscover.dabbiesgardenideas.com,False,,
test-49.acmetestbykeychestdotnet-14.xyz,False,,
mail.parkwayhealth.net,False,,
autodiscover.safaiet.com,False,,
allenco-eugene.com,False,,
timesharescam.com,False,,
polomotor.crea.space,False,,
autodiscover.dabbiesgardenideas.com,False,,
bsuir.ishimko.me,False,,
test-49.acmetestbykeychestdotnet-14.xyz,False,,
kb.cbrand.agency,False,,
autodiscover.safaiet.com,False,,
mail.parkwayhealth.net,False,,
besttrainers.co.uk,False,,
allenco-eugene.com,False,,
*.vendykasickova.repl.co,False,,
bsuir.ishimko.me,False,,
lobster.c0sm0s.net,False,,
a631d.0ec8.dn.glob.us,False,,
*.vdi7u.mesh.mongodb.net,False,,
kb.cbrand.agency,False,,
*.fc4c93e6807b157b3c0c7382.keenetic.io,False,,
bohemia.brillianttastes.com,False,,
a631d.0ec8.dn.glob.us,False,,
*.vendykasickova.repl.co,False,,
lobster.c0sm0s.net,False,,
*.vdi7u.mesh.mongodb.net,False,,
chatbot.cquantt.com,False,,
*.fc4c93e6807b157b3c0c7382.keenetic.io,False,,
bohemia.brillianttastes.com,False,,
autodiscover.caribexmarine.com,False,,
autodiscover.eskisehirmuzikkurslari.com,False,,
hardwaresrl.it,False,,
autodiscover.caribexmarine.com,False,,
media1.alkvetternsherrgard.se,False,,
autodiscover.eskisehirmuzikkurslari.com,False,,
kiemtra.thcsnbk-duyxuyen.xyz,False,,
hardwaresrl.it,False,,
thomasvankrugten.freddydenoord.nl,False,,
media1.alkvetternsherrgard.se,False,,
kiemtra.thcsnbk-duyxuyen.xyz,False,,
theluxegroup.ca,False,,
store.developer.revolutionconference.com,False,,
thomasvankrugten.freddydenoord.nl,False,,
old.site.cornellphysio.ca,False,,
tinyhouseexpo.nz,False,,
*.skidresa.eu,False,,
outcageviaggi.com,False,,
vjcdesign.com,False,,
lanka2020.com,False,,
*.sci-hub.is,False,,
39897.1604836643.cr-gke-boskos-188.cr-e2e.com,False,,
dysk.fastfinance.pl,False,,
store.developer.revolutionconference.com,False,,
autodiscover.lindasuterwoodart.com,False,,
bambis.store,False,,
39897.1604836643.cr-gke-boskos-188.cr-e2e.com,False,,
old.site.cornellphysio.ca,False,,
theluxegroup.ca,False,,
*.skidresa.eu,False,,
vjcdesign.com,False,,
outcageviaggi.com,False,,
tinyhouseexpo.nz,False,,
*.sci-hub.is,False,,
lanka2020.com,False,,
9tp6tjvjfw.dattolocal.net,False,,
autodiscover.lindasuterwoodart.com,False,,
dysk.fastfinance.pl,False,,
abstracttilers.co.uk,False,,
bambis.store,False,,
collabora.pnrpaca.fr,False,,
magento.remote.cornellphysio.ca,False,,
staging.developer.sanydetect.com,False,,
esccotradingdmcc.com,False,,
collabora.pnrpaca.fr,False,,
magento.remote.cornellphysio.ca,False,,
magento.developer.sanydetect.com,False,,
9tp6tjvjfw.dattolocal.net,False,,
dealabc.cn,False,,
autodiscover.truckbulao.com,False,,
makaraetnik.com,False,,
test.developer.rdownload.host,False,,
direwolf-e5376540c8-renamed.staging.herokuappdev.com,False,,
dev.m.hojyokin.work,False,,
abstracttilers.co.uk,False,,
staging.developer.sanydetect.com,False,,
direwolf-e5376540c8-renamed.staging.herokuappdev.com,False,,
magento.developer.sanydetect.com,False,,
beatrizmcalleja.com,False,,
test.developer.rdownload.host,False,,
dealabc.cn,False,,
autodiscover.truckbulao.com,False,,
makaraetnik.com,False,,
dev.m.hojyokin.work,False,,
buymadeinindiaproducts.com,False,,
direwolf-f0e5a4b1d0-renamed-2.staging.herokuappdev.com,False,,
autodiscover.bocacomputerepair.com,False,,
tobiashassio.duckdns.org,False,,
direwolf-f0e5a4b1d0-renamed-2.staging.herokuappdev.com,False,,
buymadeinindiaproducts.com,False,,
staging.remote.cornellphysio.ca,False,,
meru.westrsc.com,False,,
staging30.onlinetradingcourses.co.za,False,,
test.developer.ogobmen.com,False,,
autodiscover.bocacomputerepair.com,False,,
tobiashassio.duckdns.org,False,,
www.balancingtheboones.com,False,,
ottodil.be,False,,
*.mamadilrose.com,False,,
www.unwinedranch.com,False,,
meru.westrsc.com,False,,
staging30.onlinetradingcourses.co.za,False,,
test.developer.ogobmen.com,False,,
baobab-unter-dem-baum.com,False,,
autodiscover.eskisehirmasajsalonu.com,False,,
www.unwinedranch.com,False,,
ottodil.be,False,,
*.mamadilrose.com,False,,
*.4fcaf1b6b1835cee088675c5.keenetic.io,False,,
cartridgeproject.co.kr,False,,
baobab-unter-dem-baum.com,False,,
autodiscover.eskisehirmasajsalonu.com,False,,
destaalkade6.com,False,,
dev.developer.lazlaz.tech,False,,
pringlepawz.com,False,,
dientucoban.com,False,,
*.4fcaf1b6b1835cee088675c5.keenetic.io,False,,
www.theprovranch.com,False,,
support.organice.de,False,,
cartridgeproject.co.kr,False,,
dev.developer.lazlaz.tech,False,,
pringlepawz.com,False,,
dientucoban.com,False,,
buyhome.site,False,,
*.4b5adf60017820c8a95763c9.keenetic.io,False,,
www.theprovranch.com,False,,
pps-syamsulhuda.com,False,,
support.organice.de,False,,
jglproduction.com,False,,
martowner.com,False,,
n4b0owtwocs167uc.myfritz.net,False,,
pps-syamsulhuda.com,False,,
demo.secure.objektivdigital.com,False,,
buyhome.site,False,,
arrtkart.com,False,,
test-3.staging.au.cloudfoxy.com,False,,
*.4b5adf60017820c8a95763c9.keenetic.io,False,,
api.takeitaway.menu,False,,
*.alsenzapotheke.c-bo-homepage.de,False,,
jglproduction.com,False,,
oliverletwinmp.com,False,,
44694.1604836643.cr-gke-boskos-188.cr-e2e.com,False,,
bst-960aa7a0-5f83-4106-bbfc-2c933ef25254-0.bastion.azure.com,False,,
*.hana.669d96-haas-hc-ci.ci-aws.hanacloud.ondemand.com,False,,
*.unrotinmarltibul.cf,False,,
technobrine.com,False,,
*.5de3e554a946ab8650f14433.keenetic.io,False,,
*.up.almosaabi.com,False,,
tryghavn.create.aau.dk,False,,
mankindhealed.com,False,,
ustamilfm.com,False,,
terapiaslotus.com.br,False,,
www.yogainaction.org.au,False,,
m.aufsperrer.at,False,,
test.developer.flurin.nl,False,,
www.xxiedesign.com,False,,
addressiony.com,False,,
desinfection-express.com,False,,
mail.seekandstyle.com.au,False,,
autodiscover.spritindustries.com,False,,
pvpgate.com,False,,
citraarchitects.com,False,,
store.developer.investmentofkuwait.com,False,,
decamaplegable.conectores.online,False,,
*.luxdorph.com,False,,
karensseafood.com,False,,
files.maartenvr98.dev,False,,
decamaplegable.conectores.online,False,,
mujian.asuscomm.com,False,,
host.merk.club,False,,
*.fontmap.co.uk,False,,
mrwinx.2ql.it,False,,
daressia.com,False,,
babaagynemubolt.hu,False,,
tomsideelectrique.com,False,,
stonehardcordova.com,False,,
cpanel.fresnologistics.com,False,,
mail.tca-tamweeluklp.com,False,,
airspine.com,False,,
sandymanisco.com,False,,
*.mmabadinusa.com,False,,
georgiadirtyworks.com,False,,
en.tazadigital.com,False,,
landscapeidaho.com,False,,
octobergalleryeducation.com,False,,
terrornites.com,False,,
dev.developer.jsuptime.com,False,,
californiaiceman.com,False,,
www.xtrem.portail-tech.com,False,,
tjsq0bodhfatge1o.myfritz.net,False,,
dev.developer.no-jus.com,False,,
boardinghouse-stadtvilla-budget-schweinfurt.hotelsbuchen.de,False,,
insanitychat.com,False,,
www.unwinedmanor.com,False,,
wolf-prints.com,False,,
lulucarcassonne.freeboxos.fr,False,,
les-cercles-blancs.com,False,,
mha.memberlodge.com,False,,
spacehopper.el.ub.edu,False,,
magento.developer.no-jus.com,False,,
reformaspimart.com,False,,
mikeklijanowicz.com,False,,
net-upgrade.com,False,,
re-research.ru,False,,
joshachmang.com,False,,
*.nurgate01.acits.be,False,,
magento.secure.fhbidrag.dk,False,,
alerts.frontlinesms.com,False,,
akilismithtraining.com,False,,
ensembleatable.fr,False,,
bokepfb.xyz,False,,
cocinasagas.conectores.online,False,,
sterilu.com,False,,
cpanel.ledascaffolding.com,False,,
*.69386d7f310b4a4483aade1fcb381082.plex.direct,False,,
shop.developer.no-jus.com,False,,
autodiscover.peace-of-mind-petcare.com,False,,
*.michaelgombos.com,False,,
industrialcooling.co.in,False,,
store.shop.niklak.cz,False,,
ntg.systems,False,,
india.kenpo-kai.com,False,,
elite-biel.com,False,,
autodiscover.conway-publications.com,False,,
staging.developer.flurin.nl,False,,
robertowenmarine.co.uk,False,,
bonglo.net,False,,
arredoforniture.it,False,,
latestproductnews.com,False,,
editionsamea.art,False,,
autodiscover.homealimentos.com,False,,
autodiscover.newzealand4u.com,False,,
patrickallengroup.com,False,,
lutchmedia.co.uk,False,,
hardafuciontarueie.zendesk.com,False,,
shelbimassaratti.org,False,,
organizeddesignsbytracy.com,False,,
abacobilbao.org,False,,
b3-02154.com,False,,
sudetencreche.net,False,,
test.dev.ethsendclub.com,False,,
gluapi.com,False,,
thechiro.net,False,,
livingstonegranitema.com,False,,
api.tempdev2grow.ddns.net,False,,
autodiscover.meekelectric.ca,False,,
m.scoutisrael.com,False,,
salm8653.zendesk.com,False,,
landscapeidaho.com,False,,
tjsq0bodhfatge1o.myfritz.net,False,,
mail.net15-43.fr,False,,
christmasbox.usefulstrategy.com,False,,
*.commutr.net,False,,
telemaster18.ru,False,,
kudavana.org,False,,
autodiscover.secureukbonds.net,False,,
arvidaxland.se,False,,
blog.muraldesign.com.br,False,,
oohnda.futurweb.info,False,,
prestashop.pdm.es,False,,
autodiscover.nassaumobilechiropractor.com,False,,
praktijken.cioos.be,False,,
parusm.com,False,,
awesomebirth.co.uk,False,,
fastviper9.feste-ip.net,False,,
rams-rc.org,False,,
dev.developer.sanydetect.com,False,,
w4chope.com,False,,
babaagynemubolt.hu,False,,
accountingandfinance.com,False,,
dev.npoplaza.com,False,,
el.medinow.gr,False,,
mail.spitalpneumoftiziologieaiud.ro,False,,
store.developer.investmentofkuwait.com,False,,
magento.developer.flurin.nl,False,,
autodiscover.dawnamaewilson.com,False,,
magento.secure.fhbidrag.dk,False,,
melitakylephotography.co.uk,False,,
goldenseniorcare.com,False,,
mail.net15-43.fr,False,,
otm.wpdev.com.au,False,,
dev.developer.sci2u.dk,False,,
*.womeninrail.org,False,,
*.labkodingku.xyz,False,,
acosfe.com.br,False,,
autodiscover.englishtreeesl.com,False,,
elsilenciodelvalle.com,False,,
*.zemmels.net,False,,
public.npoplaza.com,False,,
slcb.neudeep.com,False,,
slcb.neudeep.com,False,,
apartlar.com,False,,
*.unalalunerag.tk,False,,
webrocante.ovh,False,,
org.shivaexportsindia.com,False,,
*.usxpj.mesh.mongodb.net,False,,
behavioralscienceworkshop.com,False,,
fahranfaengerversicherung.com,False,,
hausofbenita.online,False,,
*.lapakknalpot.com,False,,
terrornites.com,False,,
hcarnes.com,False,,
cr1.lankatowns.com,False,,
lulucarcassonne.freeboxos.fr,False,,
de.evasionjeune.com,False,,
lusitano-vendee.fr,False,,
aliciaretuerta.com,False,,
*.website-server.pr.cs61a.org,False,,
porto-luz.com,False,,
buygunnr.com,False,,
www.zenartofhealth.com,False,,
3azi8juwqwhihiow.myfritz.net,False,,
lorawan.m2mgermany.de,False,,
controlmed.proyectosmol.com,False,,
arons.net,False,,
thornleighsquash.com,False,,
*.salomafurlong.net,False,,
shop.secure.ethereumcode.online,False,,
easypassports.co.uk,False,,
autodiscover.dfwwebstudios.com,False,,
mail.valemountresorts.com,False,,
ensembleatable.fr,False,,
informer.craignova.com,False,,
drjackiedoyle.co.uk,False,,
*.studentcare.co.id,False,,
martinclaydon.com,False,,
greyhopestories.com,False,,
www.rainbowrebel.co.uk,False,,
mail.youngplumbingcoinc.com,False,,
sytrad.fr,False,,
www.7berge7meere.com,False,,
akcshihtzu.com,False,,
test.secure.fhbidrag.dk,False,,
*.trakal.ltz.life,False,,
hotlipsmagazine.com,False,,
thefacialbar-online.com,False,,
movementplus.org,False,,
abacobilbao.org,False,,
*.cermineagendchangtrad.gq,False,,
device-local-4a7a5696-dc26-4a29-9bfe-7492e89b6649.remotewd.com,False,,
uptodatepatientinfo.com,False,,
vipdance.info,False,,
www.topdailyupdates247.xyz,False,,
autodiscover.flyfishdeschutes.com,False,,
desinelabs.com,False,,
logcabinleather.net,False,,
customtool.audreylane.com,False,,
*.clsm47.fr,False,,
ccsurfaces.speedlabel.net,False,,
autodiscover.dsxt.com,False,,
www.bacsionline.website,False,,
renatadutreephotography.com,False,,
autodiscover.beatrizgoncalves.site,False,,
milleniumriskmanager.onthelevelmobile.com,False,,
de.blt.energy,False,,
maskfactory.com.br,False,,
es.loveofdesigns.com,False,,
thepizzaboxx.com,False,,
avinusa.store,False,,
maeslandsluys.nl,False,,
*.2f7081694d7c49058e202dccd52f3913.plex.direct,False,,
eu.ateajo.eus,False,,
blackwaxx.myds.me,False,,
www.yaroslavnadesign.com,False,,
www.chopsticksnc.com,False,,
cpanel.injurylegal.co,False,,
careeradmission.net,False,,
b4-151423.com,False,,
demo.developer.rdownload.host,False,,
tuabogadolaboral.com,False,,
magento.developer.flurin.nl,False,,
autodiscover.bbs.zdna.net,False,,
lasceleira.com,False,,
guscortez.com,False,,
biolchim.ru,False,,
staging.spam.hatchsafety.io,False,,
thecolorexchangesalon.com,False,,
vanshikasanghi.com,False,,
medcares.net,False,,
autodiscover.peidemexico.com,False,,
spbshellac.ru,False,,
trellisandtwigpaperie.com,False,,
proliveae.com,False,,
youthful-wu.103-76-228-71.plesk.page,False,,
stanleyweissdds.com,False,,
dev.watch.rogue.mutantcxo.com,False,,
autodiscover.journeytojustice.info,False,,
pl.codanzaacademy.com,False,,
redmine.musengo.com,False,,
*.cuellosparaperros.es,False,,
mbn.it,False,,
maeslandsluys.nl,False,,
family-and-home.ru,False,,
jtfalcon.co.uk,False,,
whoapp.info,False,,
postadresse-muenchen-mit-telefonservice.de,False,,
mapleleaf.npoplaza.com,False,,
ninaderosier.no,False,,
autodiscover.soundartbrighton.com,False,,
publiquei.com,False,,
patronatoinas.be,False,,
fr.cassinomagus.fr,False,,
*.bevrange.com,False,,
www.chrisquazzo.com,False,,
playsportsdev.com,False,,
www.primoryebetting.com,False,,
flux.pmbservice.fr,False,,
*.thefutureforestcompany.com,False,,
app.promowise.com,False,,
www.telemaster18.ru,False,,
www.malibuoysterco.com,False,,
instaladoresdegascolmenarejo.com.es,False,,
www.7berge7meere.com,False,,
tiffanyredwing.com,False,,
sskk3111.com,False,,
shop.developer.sci2u.dk,False,,
*.ab9202d3711168af40fea098.keenetic.io,False,,
tietcustomcabinets.com,False,,
50acres.mercurygraphics.com,False,,
magento.developer.no-jus.com,False,,
device8528115-03711a62-local.wd2go.com,False,,
barbados2020.org,False,,
eureks.eu,False,,
www.pinx.mx,False,,
www.rainbowrebel.co.uk,False,,
scep.167231144763208.meraki.direct,False,,
www.soundmindpictures.com,False,,
easylito.it,False,,
anil.myds.me,False,,
50acres.mercurygraphics.com,False,,
*.autosainer.es,False,,
ko.adamscollege.edu,False,,
arkmetrics.com,False,,
greyhopestories.com,False,,
ayaa.co,False,,
old.developer.russiatube.online,False,,
autodiscover.infinidist.com,False,,
christmasbox.usefulstrategy.com,False,,
demo.developer.rdownload.host,False,,
indenizacoesaereas.abppparananorte.com.br,False,,
instaladoresdegascolladomediano.com.es,False,,
www.baithuochaytv.gq,False,,
aparthotel-stadtvilla-premium-schweinfurt.hotelsbuchen.de,False,,
www.therastream.com,False,,
*.bbalvecchiopero.com,False,,
prevest.jp,False,,
french-perles.fr,False,,
store.blog.install-store.com,False,,
*.f61d5b290ef7904a341f1a62.keenetic.io,False,,
joyunscripted.com,False,,
test.developer.gseo.ch,False,,
dev.developer.sci2u.dk,False,,
mmdtstudios.com,False,,
spacehopper.el.ub.edu,False,,
arkmetrics.com,False,,
autodiscover.secureukbonds.net,False,,
abira.com.ua,False,,
sandymanisco.com,False,,
cornerstone-assistedliving.com,False,,
*.knottingleyraiders.co.uk,False,,
tempdev2grow.ddns.net,False,,
cotaz.com,False,,
d3qj0hnzro09tz5n.myfritz.net,False,,
webmail.vrabogados.mx,False,,
kingspirit.fr,False,,
rent-a-scientist.com,False,,
*.243689c6b920c2eef997c773.keenetic.io,False,,
softentegre.com,False,,
behavioralscienceworkshop.com,False,,
ptl.movimento51.pt,False,,
autodiscover.legislacaointegrada.com,False,,
mikeklijanowicz.com,False,,
beta.cyblab-ltd.com,False,,
scep.114598837483706.meraki.direct,False,,
expresswaycos.net,False,,
test-31.acmetestbykeychestdotnet-389.xyz,False,,
airlock.kreatifsolution.com,False,,
pta.in.ua,False,,
autodiscover.kasaklegal.com,False,,
xeslaxatzx1lbw43.myfritz.net,False,,
shop.developer.sanydetect.com,False,,
publiquei.com,False,,
easylito.it,False,,
autodiscover.torohomebuyers.com,False,,
comnnenrs.com,False,,
